timestamp_ms,cluster_name,current_mv,duration_ms,head_hz,thorax_hz,abdomen_hz,wing_l_hz,wing_r_hz,leg_l1_hz,leg_l2_hz,leg_l3_hz,leg_r1_hz,leg_r2_hz,leg_r3_hz
1789762818771,SApp_SApp_L,8.0,1503,26.276,146.396,3.087,0.000,0.000,0.883,0.518,0.484,0.924,1.036,3.003
1789763869947,SApp_SApp_L,8.0,35,15.015,87.588,15.296,0.000,0.000,5.299,11.391,10.171,2.772,9.837,4.505
1789763870273,SNpp35_,8.0,101,15.015,87.588,15.296,0.000,0.000,5.299,11.391,10.171,2.772,9.837,4.505
1789763870611,SApp_SApp_R,8.0,112,26.276,126.376,11.367,40.040,20.020,3.091,6.731,7.750,3.234,7.766,6.006
1789763870703,SNpp14_,8.0,87,26.276,126.376,11.367,40.040,20.020,3.091,6.731,7.750,3.234,7.766,6.006
1789763870939,SApp_SApp_R,8.0,82,26.276,126.376,11.367,40.040,20.020,3.091,6.731,7.750,3.234,7.766,6.006
1789763871060,SNpp14_,8.0,108,26.276,126.376,11.367,40.040,20.020,3.091,6.731,7.750,3.234,7.766,6.006
1789763871386,SApp_SApp_R,8.0,10,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763871483,SNpp14_,8.0,107,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763871609,SApp_SApp_R,8.0,10,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763871706,SNpp14_,8.0,107,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763871843,SApp_SApp_R,8.0,9,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763871929,SNpp14_,8.0,95,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763872054,SApp_SApp_R,8.0,108,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763872131,SNpp14_,8.0,69,13.138,87.588,13.050,0.000,0.000,5.299,10.355,4.844,2.310,9.320,4.505
1789763872446,SNpp35_,8.0,102,18.769,107.608,12.629,30.030,10.010,3.091,6.213,6.297,1.386,5.178,4.004
1789763872599,SApp_SApp_L,8.0,129,18.769,107.608,12.629,30.030,10.010,3.091,6.213,6.297,1.386,5.178,4.004
1789763872722,SNpp35_,8.0,118,18.769,107.608,12.629,30.030,10.010,3.091,6.213,6.297,1.386,5.178,4.004
1789763878206,SApp_SApp_L,8.0,149,7.508,85.085,13.191,0.000,0.000,3.533,6.731,4.844,3.696,5.695,5.506
1789763878581,SNpp35_,8.0,139,22.523,121.371,12.208,20.020,10.010,4.416,5.178,4.359,3.696,6.213,4.004
1789763879022,SApp_SApp_L,8.0,121,22.523,121.371,12.208,20.020,10.010,4.416,5.178,4.359,3.696,6.213,4.004
